time,px,py,pz,vx,vy,vz,qw,qx,qy,qz,drag_x,drag_y,drag_z,density,pressure,temperature,latitude,longitude,altitude
1208.0,2673386.911569387,4353241.1198145,5239178.870617478,-6891.240956476506,1649.777385048126,1979.099259271351,0.999999852443335,8.993446881559595e-12,0.000446227761637854,-0.0003098291354357545,2.147333170413873e-06,-6.310742861120683e-07,-1.194488312975163e-06,6.946734033937356e-15,1.211025690592048e-08,1147.76002097166,45.723026804146066,53.39821245343171,946561.1418367354
1234.0,2493316.7733244,4394634.851702428,5288825.201391176,-6959.478644791447,1534.235711731441,1839.705049113151,0.999999835296336,9.855763894753698e-12,0.0004714416679393149,-0.0003273378298048685,2.186888182422861e-06,-5.808938463049603e-07,-1.086471860503285e-06,7.021079297326677e-15,1.217928596682162e-08,1145.963758752954,46.30817830918956,55.275643030314974,943445.708514682
1259.0,2322066.261848565,4430879.147928184,5332275.981667881,-7019.480295119142,1424.264830038216,1707.035662651157,0.999999817888818,1.063399446144115e-11,0.0004957285836488736,-0.0003442027053280296,2.222264276365235e-06,-5.324568968951837e-07,-9.839146824068197e-07,7.092398240464314e-15,1.224411831244173e-08,1144.125872983987,46.82783629232,57.082368769899546,940487.461018607
1282.0,2160007.447600904,4462441.172803637,5370094.897068982,-7071.967532675317,1320.116824853887,1581.39466967968,0.9999998004123397,1.130686446392182e-11,0.0005189696535150624,-0.0003603411990256148,2.252387474787794e-06,-4.878842226123613e-07,-8.910559306006872e-07,7.157835333032857e-15,1.230240242954737e-08,1142.341047553073,47.286509040069255,58.81479269839388,937688.8426003465
1304.0,2003904.227736193,4490380.750642397,5403554.994640208,-7118.659058897048,1219.722630424102,1460.285570984362,0.9999997826444532,1.186987914226328e-11,0.0005415768270023104,-0.0003760393418567016,2.278931777665091e-06,-4.45371594410766e-07,-8.038873666825618e-07,7.22025007557067e-15,1.235692112868359e-08,1140.551445568125,47.69783456178226,60.50220929783341,934994.6632734342
1325.0,1846811.867150063,4516103.766382868,5434341.211856687,-7161.884607210158,1118.619083746281,1338.324193694561,0.9999997638303889,1.232251822314531e-11,0.0005645292034966998,-0.0003919769700697119,2.30212268003508e-06,-4.050185386216115e-07,-7.224604428183009e-07,7.27965669817093e-15,1.240784042287048e-08,1138.76991169181,48.08146457171093,62.22247447814426,932284.9943205584
1347.0,1688806.931637832,4539595.137428187,5462435.431087472,-7201.615750737624,1016.853808202435,1215.568115090446,0.9999997439557472,1.262851943372863e-11,0.0005878029095971241,-0.0004081374519232534,2.324095768771152e-06,-3.631034471527215e-07,-6.393019274113898e-07,7.34171078996125e-15,1.246002273758175e-08,1136.828931638292,48.436535976518904,63.966073297384774,929561.1909571299
1371.0,1519107.906473951,4562206.712487257,5489451.88391214,-7240.164649294909,907.4732982350783,1083.630069183392,0.9999997215426211,1.274594110162583e-11,0.0006129901715174825,-0.0004256262800095297,2.345276841454459e-06,-3.179455680143468e-07,-5.514268150430539e-07,7.409201426390452e-15,1.251562254885845e-08,1134.627302029568,48.78333038857263,65.85531073524865,926636.6657132218
1393.0,1355824.839792771,4581441.570056218,5512406.276423258,-7273.281453441698,802.1462766072758,956.5854895851838,0.9999996989310891,1.26026947810692e-11,0.0006373928282927638,-0.0004425698968406652,2.362069744593199e-06,-2.772101596050318e-07,-4.737951366677393e-07,7.47089584869893e-15,1.256541341431455e-08,1132.534891762413,49.083046565329056,67.69443001676781,923826.304470093
1415.0,1199140.664155578,4597601.814134859,5531663.093848531,-7301.435477898227,700.9999801516481,834.5874613190786,0.9999996762695907,1.217711184083434e-11,0.000660946287155523,-0.0004589234352964267,2.376298524769905e-06,-2.372388820609788e-07,-3.992551474260184e-07,7.53244969576724e-15,1.261413042751752e-08,1130.374497626954,49.33915168639488,69.46987811217281,921131.1944872141
